ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
11345,TomClancysRainbowSix,Positive,5 Amazing job boys!!.,2025-10-13 20:59:40,2025-10-13 20:59:50,21
11345,TomClancysRainbowSix,Positive,Amazing you boys!!.,2025-10-13 20:59:40,2025-10-13 20:59:50,19
11346,TomClancysRainbowSix,Negative,I have very conflicting feelings rn,2025-10-13 20:59:40,2025-10-13 20:59:50,35
11346,TomClancysRainbowSix,Negative,I have very conflicting feelings.,2025-10-13 20:59:40,2025-10-13 20:59:50,33
11346,TomClancysRainbowSix,Negative,I have very good feelings.,2025-10-13 20:59:40,2025-10-13 20:59:50,26
11346,TomClancysRainbowSix,Negative,I have very warm feelings rn,2025-10-13 20:59:40,2025-10-13 20:59:50,28
11346,TomClancysRainbowSix,Negative,I have experienced very conflicting feelings rn,2025-10-13 20:59:40,2025-10-13 20:59:50,47
11346,TomClancysRainbowSix,Negative,to have very conflicting feelings rn,2025-10-13 20:59:40,2025-10-13 20:59:50,36
11347,TomClancysRainbowSix,Negative,@Rainbow6Game fix random pick when someone is joining into an on going match so it picks a character they actually use on the map because about 75% it is an operator I do not use because they are terrible on that map like Castle on wine cellar on Chalet on bomb.,2025-10-13 20:59:40,2025-10-13 20:59:50,262
11347,TomClancysRainbowSix,Negative,@ Rainbow6Game fix random selection when someone joins in a running match so that it chooses a character they actually use on the card because about 75% it is an operator I do not use because they are terrible on this card like castle on wine cellar on chalet on bomb.,2025-10-13 20:59:40,2025-10-13 20:59:50,268
11347,TomClancysRainbowSix,Negative,"@ Rainbow6Game fix the random choice when someone joins an ongoing match, so he chooses the character they actually use on the map because about 75% is the operator I don't use because they're terrible on that map, like a castle on a wine cellar on a bomb.",2025-10-13 20:59:40,2025-10-13 20:59:50,256
11347,TomClancysRainbowSix,Negative,@Rainbow6Game fix random pick when someone is joining into an on lan match so it picks an character they actually use on the map because about 75% of is an NPC I do not use because they play terrible on that map like Castle on wine cellar on Chalet on bomb.,2025-10-13 20:59:40,2025-10-13 20:59:50,257
11347,TomClancysRainbowSix,Negative,@Rainbow6Game fix that random pick when someone is joining into organizing an on going match so it picks a character they actually use on the map because about 75 % if it can is and an active operator I don't use too because they all are terrible creatures on that map like Castle on wine cellar on Double Chalet on bomb.,2025-10-13 20:59:40,2025-10-13 20:59:50,321
11347,TomClancysRainbowSix,Negative,the fix I pick unless someone is joining into an on going service so it picks every character they actually use on the map that about 75% it is an operator I do not like because they are always on that map like Castle on wine cellar on Chalet on bomb.,2025-10-13 20:59:40,2025-10-13 20:59:50,251
11348,TomClancysRainbowSix,Irrelevant,@Rainbow6Game Most of the MUTE event was done at home and I’m honestly impressed!,2025-10-13 20:59:40,2025-10-13 20:59:50,81
11348,TomClancysRainbowSix,Irrelevant,@ Rainbow6Game Most of the MUTE event took place at home and I'm honestly impressed!,2025-10-13 20:59:40,2025-10-13 20:59:50,84
11348,TomClancysRainbowSix,Irrelevant,@ Rainbow6Game Most of the MUTE event was done at home and I'm honestly impressed!,2025-10-13 20:59:40,2025-10-13 20:59:50,82
11348,TomClancysRainbowSix,Irrelevant,@Rainbow6Game Most of the MUTE event was streamed at home — I’m honestly impressed!,2025-10-13 20:59:40,2025-10-13 20:59:50,83
11348,TomClancysRainbowSix,Irrelevant,@Rainbow6Game Most impressive of you the amazing MUTE event was done at home and I ’ m honestly impressed!,2025-10-13 20:59:40,2025-10-13 20:59:50,106
11348,TomClancysRainbowSix,Irrelevant,that Most of the MUTE K was done at school and I’m honestly impressed!,2025-10-13 20:59:40,2025-10-13 20:59:50,70
11349,TomClancysRainbowSix,Negative,@Rainbow6Game im getting an error code saying that the u play servers are down and ive tried anything you can think of. whats going on?,2025-10-13 20:59:40,2025-10-13 20:59:50,135
