ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
11701,Verizon,Negative,@ verizon this is to notify you that our company is enjoying me for a payment that I do not owe. I will hear this in court,2025-10-14 20:45:20,2025-10-14 20:45:30,122
11701,Verizon,Negative,@verizon this is to notify you that ur company is harassing you for a payment that I do not owe. I could pursue this in court,2025-10-14 20:45:20,2025-10-14 20:45:30,125
11701,Verizon,Negative,I @verizon said this is to notify you that that ur company is harassing me for a compensation payment that I don't owe. I though will pursue this policy in court,2025-10-14 20:45:20,2025-10-14 20:45:30,161
11701,Verizon,Negative,@verizon this Let her notify you that ur ex is harassing me for a payment that I do indeed owe. I will pursue this in court,2025-10-14 20:45:20,2025-10-14 20:45:30,123
11702,Verizon,Negative,@VZWSupport Your company screwed me/my family out of $900. I guess screwing your customers is the new way of doing business in America. Anybody who happens to read this Tweet& is looking for a phone company DON’T USE VERIZON they prefer to keep you overpaying for their service. https://t.co/iAAoK0wLPB,2025-10-14 20:45:20,2025-10-14 20:45:30,302
11702,Verizon,Negative,@ VZWSupport Your company has screwed me / my family out of $900. I guess screwing your customers is the new way to do business in America. anyone reading this tweet and looking for a phone company that DOES NOT USE VERIZON would prefer to overpay you for service. https: / / t.co / iAoK0wLPB,2025-10-14 20:45:20,2025-10-14 20:45:30,292
11702,Verizon,Negative,"@ VZWSupport Your company has taken me / my family out of $900. I believe that screwing the screws on your customers is a new way of doing business in America. Anyone reading this article looking for a phone company, Don't USE VERIZON, would prefer you to overpay for their services.",2025-10-14 20:45:20,2025-10-14 20:45:30,283
11702,Verizon,Negative,@VZWSupport Your company screwed personally/my family out of $900. & know screwing your customers will the new way of doing business in America. Anybody who happens to read this Tweet& is looking for a phone company DON’T USE Comcast they prefer to keep you overpaying using their service. https://t.co/iAAoK0wLPB],2025-10-14 20:45:20,2025-10-14 20:45:30,314
11702,Verizon,Negative,@VZWSupport Your company really screwed me / my family out out of $ 900. I guess screwing your customers is the new way north of doing dirty business in America. Anybody who happens up to read this Tweet & is actually looking for a phone distribution company DON ’ T USE VERIZON they prefer just to keep you without overpaying for their service. 2009 https://t.co/iAAoK0wLPB ],2025-10-14 20:45:20,2025-10-14 20:45:30,376
11702,Verizon,Negative,[ Your boss screwed my/my friend clear of dinner. I guess screwing your customers is the new way of doing business in America. Anybody who happens to read this Tweet& is looking for a phone company DON’T BE VERIZON they prefer they keep you overpaying for their phones. 20],2025-10-14 20:45:20,2025-10-14 20:45:30,273
11703,Verizon,Neutral,The new,2025-10-14 20:45:20,2025-10-14 20:45:30,9
11703,Verizon,Neutral,nan,2025-10-14 20:45:20,2025-10-14 20:45:30,3
11703,Verizon,Neutral,New,2025-10-14 20:45:20,2025-10-14 20:45:30,3
11703,Verizon,Neutral,The Fall,2025-10-14 20:45:20,2025-10-14 20:45:30,8
11703,Verizon,Neutral,The shiny new,2025-10-14 20:45:20,2025-10-14 20:45:30,13
11703,Verizon,Neutral,The Love,2025-10-14 20:45:20,2025-10-14 20:45:30,8
11704,Verizon,Positive,@ATT I would just like everyone to be aware that this company would rather lose a customer than take the L on a phone that was REPORTED STOLEN. I will be submitting a request for my business to eliminate our business contract and move to Verizon immediately.,2025-10-14 20:45:20,2025-10-14 20:45:30,258
11704,Verizon,Positive,@ ATT I just want everyone to be aware that this company would rather lose a customer than take the L on a phone that has been STOLEN REPORTED. I will make a request for my company to terminate our business contract and immediately switch to Verizon.,2025-10-14 20:45:20,2025-10-14 20:45:30,250
11704,Verizon,Positive,@ ATT I just want everyone to know that this company would rather lose a customer than take an L on a phone that has been rewritten to STOLEN.,2025-10-14 20:45:20,2025-10-14 20:45:30,142
11704,Verizon,Positive,@ATT I would just like everyone to be aware... this company would rather lose a customer than leave the L on a phone that was allegedly STOLEN. Jason will be submitting another request for my business to eliminate our business contract and move to Verizon immediately.,2025-10-14 20:45:20,2025-10-14 20:45:30,268
11704,Verizon,Positive,@ATT I would just like most everyone to fully be aware that this company would be rather lose nearly a customer than to take the L on a phone that was REPORTED of STOLEN. I sure will be submitting a request for my business to eliminate from our business pilot contract again and move to Verizon immediately.,2025-10-14 20:45:20,2025-10-14 20:45:30,307
11704,Verizon,Positive,@ATT I would just like everyone to be aware that my company would rather lose its T than take the L on my phone that was REPORTED STOLEN. I will see submitting a request for my lawyer to eliminate my business contract and switch to Verizon immediately.,2025-10-14 20:45:20,2025-10-14 20:45:30,252
11705,Verizon,Irrelevant,"Police foundations prop up overmilitarized, overfunded police departments that put our communities in danger. . . Sign the petition: Tell @CocaCola @Starbucks @Verizon @Target @WellsFargo @Delta and more to stop funding",2025-10-14 20:45:20,2025-10-14 20:45:30,221
11705,Verizon,Irrelevant,"Police foundations prop up over-militarized, over-funded police departments that put our communities at risk... Sign the petition: Tell @ CocaCola @ Starbucks @ Verizon @ Target @ WellsFargo @ Delta and more to stop funding",2025-10-14 20:45:20,2025-10-14 20:45:30,223
11705,Verizon,Irrelevant,Sign the petition: Tell @ CocaCola @ Starbucks @ Verizon @ Target @ WellsFargo @ Delta and more to stop funding.,2025-10-14 20:45:20,2025-10-14 20:45:30,112
11705,Verizon,Irrelevant,"Police foundations prop up overmilitarized, overfunded police departments that put our communities in danger.. Do Sign the Letter: Tell Patron @CocaCola @Starbucks Patron @Verizon @Target and supporters to stop funding",2025-10-14 20:45:20,2025-10-14 20:45:30,218
11705,Verizon,Irrelevant,"Police foundations prop me up overmilitarized, overfunded state police departments aware that who put together our communities are in more danger... and Sign the petition : I Tell @CocaCola NC @Starbucks @Verizon @Target @WellsFargo @Delta and more to stop funding",2025-10-14 20:45:20,2025-10-14 20:45:30,264
11705,Verizon,Irrelevant,"Police constantly feed up corrupt, overfunded security forces that put our communities in danger... to the petition: Tell @CocaCola 1 @Starbucks @Verizon @Target @WellsFargo 2 more to stop funding",2025-10-14 20:45:20,2025-10-14 20:45:30,196
11706,Verizon,Positive,"Watching @DaveJMatthews perform live on Twitter @verizon  . Turns out, this is still ABSOLUTELY my happy place!",2025-10-14 20:45:20,2025-10-14 20:45:30,111
11706,Verizon,Positive,"Watching @ DaveJMatthews live on Twitter @ verizon, it turns out this is still ABSOLUTELY my happy place!",2025-10-14 20:45:20,2025-10-14 20:45:30,105
11706,Verizon,Positive,Follow @ DaveJMatthews live on Twitter @ verizon.,2025-10-14 20:45:20,2025-10-14 20:45:30,49
11706,Verizon,Positive,"Watching @DaveJMatthews perform live on Twitter @verizon <unk> Turns right, this is still ABSOLUTELY my happy place!",2025-10-14 20:45:20,2025-10-14 20:45:30,116
11706,Verizon,Positive,"Facebook Watching band @DaveJMatthews perform everything live on Twitter @verizon. Us Turns out, this location is still ABSOLUTELY Be my happy place!",2025-10-14 20:45:20,2025-10-14 20:45:30,149
11706,Verizon,Positive,"Watching @DaveJMatthews perform here on Twitter @verizon. Turns out, it to still ABSOLUTELY her happy place!",2025-10-14 20:45:20,2025-10-14 20:45:30,108
11707,Verizon,Negative,@sprintcare wrongfully reported my wife's imei number as stolen from a phone bought from and used with @VZWSupport no help in getting this removed from anyone including @TMobileHelp that we were signing up with. Its fraud and the consumer has to pay. Phone was 3yrs on Verizon,2025-10-14 20:45:20,2025-10-14 20:45:30,276
