ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
2748,Borderlands,Positive,and.,2025-10-14 20:43:10,2025-10-14 20:43:20,4
2749,Borderlands,Positive,progressed a lot in borderlands 3 today!!!!!! thank you for watching everyone uwu. . thanks to TheUkrainianBard for the 3 month resub and momoiro kohi for the raid!!!!!!. . we'll continue borderlands 3 on monday,2025-10-14 20:43:10,2025-10-14 20:43:20,211
2749,Borderlands,Positive,We have accomplished a lot in Borderlands 3 today!!!!!! Thanks for all of you watching uwu.. Thanks to TheUkrainianBard for the 3-month resumption and Momoiro kohi for the raid!!!!!!... we will continue Borderlands 3 on Monday.,2025-10-14 20:43:10,2025-10-14 20:43:20,227
2749,Borderlands,Positive,Thanks TeodosianBard for 3 months of relapse and momoiro for the raid!!!!!!. we will continue Border 3 on Monday,2025-10-14 20:43:10,2025-10-14 20:43:20,112
2749,Borderlands,Positive,progressed really lot in borderlands 3 just thank you for watching everyone else.. credit to TheUkrainianBard for the 3 month resub and momoiro kohi for the raid!!!!!!.. ll continue borderlands 3 on monday,2025-10-14 20:43:10,2025-10-14 20:43:20,205
2749,Borderlands,Positive,progressed a good lot in borderlands 3 days today!!!!!! thank would you for watching everyone make uwu.. co thanks you to TheUkrainianBard for the 3 month we resub and momoiro kohi for the the raid!!!!!!.. we'the ll continue borderlands up 3 on monday,2025-10-14 20:43:10,2025-10-14 20:43:20,251
2749,Borderlands,Positive,progressed a lot in area 31 today!!!!!! thank you for watching every uwu.. thanks you mum about full 2 month resub and momoiro kohi for full raid!!!!!!.. we'll continue borderlands 3 on monday,2025-10-14 20:43:10,2025-10-14 20:43:20,192
2750,Borderlands,Negative,"@Borderlands need help with my game. For some reason my character is lagging, no matter whose hose or solo and my game is up to date. And it's really frustrating any ideas would",2025-10-14 20:43:10,2025-10-14 20:43:20,177
2750,Borderlands,Negative,"@ Borderlands need help with my game. For some reason my character lags behind, no matter whose hose or solo and my game is up to date.",2025-10-14 20:43:10,2025-10-14 20:43:20,135
2750,Borderlands,Negative,"@ Borderlands needs help with my game. For some reason my character doesn't look like me, whether it's a song or a solo, and my game is relevant.",2025-10-14 20:43:10,2025-10-14 20:43:20,145
2750,Borderlands,Negative,"@Borderlands need help with my game. For some reason my character is lagging, no clue whose hose or solo and my game is up at scratch. And this really frustrating any ideas would",2025-10-14 20:43:10,2025-10-14 20:43:20,178
2750,Borderlands,Negative,"@Borderlands need some help with my game. 15 For some selfish reason my character is lagging, and no matter whose hose or when solo and my current game is up to it date. And it's really frustrating having any ideas would",2025-10-14 20:43:10,2025-10-14 20:43:20,220
2750,Borderlands,Negative,"@Borderlands need help with my game. For some folks my code is static, no matter whose hose or system and my game is down to date. And it's really frustrating any ideas a",2025-10-14 20:43:10,2025-10-14 20:43:20,170
2751,Borderlands,Irrelevant,"Congratulations to Borderlands Research Institute for their recent grant in the amount of $80,000 from PCQC. BRI is dedicated to the study of Montezuma quail in the Trans-Pecos region in order to better understand its population projection.",2025-10-14 20:43:10,2025-10-14 20:43:20,242
2751,Borderlands,Irrelevant,"Congratulations to the Borderlands Research Institute for the recent $80,000 grant from PCQC. BRI is dedicated to studying Montezuma quails in the Trans-Pecos region to better understand their population forecast.",2025-10-14 20:43:10,2025-10-14 20:43:20,213
2751,Borderlands,Irrelevant,"Congratulations to the Borderlands Research Institute on its recent $80,000 grant from FQC. The BRI is dedicated to studying the Montei quail in the Trans-Pecos region to gain a better understanding of its population.",2025-10-14 20:43:10,2025-10-14 20:43:20,217
2751,Borderlands,Irrelevant,"Congratulations to Borderlands Research Institute for an recent grant in a amount of $80,000 from PCQC. BRI is dedicated to the study for Montezuma quail in the Trans-Pecos region in order as better understand its population density.",2025-10-14 20:43:10,2025-10-14 20:43:20,233
2751,Borderlands,Irrelevant,"Congratulations given to Borderlands Research and Institute researchers for their complete recent grant in the large amount of $ over 80, 50 000 from PCQC. BRI Group is dedicated to the study of Montezuma quail in northern the Trans - Pecos region in order to better understand of its population projection.",2025-10-14 20:43:10,2025-10-14 20:43:20,307
2751,Borderlands,Irrelevant,"Congratulations to Borderlands Foundation International for winning annual grant in the amount of $80,000 from PCQC. BRI is dedicated to the ecology of Montezuma quail in the Trans-Pecos region in order to better assess its heart projection.",2025-10-14 20:43:10,2025-10-14 20:43:20,241
2752,Borderlands,Neutral,Borderlands 3. Firebug (Bronze). Sabotage all statues for Ember.,2025-10-14 20:43:10,2025-10-14 20:43:20,66
2752,Borderlands,Neutral,Borderlands 3. Firebug (Bronze): Sabotage of all Ember statues.,2025-10-14 20:43:10,2025-10-14 20:43:20,63
2752,Borderlands,Neutral,Borderlands 3. Firebug (). Sabotage all states for Ember.,2025-10-14 20:43:10,2025-10-14 20:43:20,57
2752,Borderlands,Neutral,Borderlands 3. 1 (Bronze). Sabotage all statues for Ember.,2025-10-14 20:43:10,2025-10-14 20:43:20,58
2752,Borderlands,Neutral,Borderlands Collection 3. 7 Firebug ( Bronze ). 2010 Sabotage all statues for The Ember.,2025-10-14 20:43:10,2025-10-14 20:43:20,88
2752,Borderlands,Neutral,Borderlands 3. Firebug (Bronze). Sabotage two copies of Ember.,2025-10-14 20:43:10,2025-10-14 20:43:20,62
2753,Borderlands,Negative,"the first borderlands game is actually so fucking bad it's almost unbearable, how did i actually used to think this was a decent game only like a year ago?",2025-10-14 20:43:10,2025-10-14 20:43:20,155
2753,Borderlands,Negative,"the first Borderlands game is actually so damn bad that it's almost unbearable, how did I think it was a decent game like it was a year ago?",2025-10-14 20:43:10,2025-10-14 20:43:20,140
2753,Borderlands,Negative,"The first borderline game is actually so fucking that it's almost impossible, like I thought it was a decent game, like a year ago?",2025-10-14 20:43:10,2025-10-14 20:43:20,131
2753,Borderlands,Negative,"the first borderlands game is really so fucking bad it's almost unbearable, how many i actually used to think this would a decent game only like a year ago?",2025-10-14 20:43:10,2025-10-14 20:43:20,156
2753,Borderlands,Negative,"the first borderlands tee game is actually so fucking awful bad it'r s almost like unbearable, how did the i actually used to think this was a semi decent game only about like a year ago?",2025-10-14 20:43:10,2025-10-14 20:43:20,187
2753,Borderlands,Negative,"the first the game is actually such fucking bad it's almost ridiculous, how did i remember used to think this were a decent game only like a year ago?",2025-10-14 20:43:10,2025-10-14 20:43:20,150
2754,Borderlands,Positive,More Borderlands 3 I LOVE THE GUNNER CLASS! twitch.tv/thebeardwhispe…,2025-10-14 20:43:10,2025-10-14 20:43:20,71
2754,Borderlands,Positive,More Borderlands 3 I LOVE THE GUNNERCLASS! twitch.tv / thebart whispe...,2025-10-14 20:43:10,2025-10-14 20:43:20,72
2754,Borderlands,Positive,More Borders 3 I LOVE THE GUNNER CLASS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2025-10-14 20:43:10,2025-10-14 20:43:20,160
2754,Borderlands,Positive,More Borderlands 3 I LOVE THE GUNNER CLASS! twitch.tv/thebeardwhispe…,2025-10-14 20:43:10,2025-10-14 20:43:20,71
2754,Borderlands,Positive,YouTube More Borderlands 3 I LOVE THE GUNNER CLASS! twitch.tv/thebeardwhispe…,2025-10-14 20:43:10,2025-10-14 20:43:20,79
2754,Borderlands,Positive,my,2025-10-14 20:43:10,2025-10-14 20:43:20,2
2755,Borderlands,Positive,IM SO EXCITED FOR THIS GAME I CANT AFFORD YET TO DROP ON STEAM BC I LOVE BORDERLANDS SO MUCH,2025-10-14 20:43:10,2025-10-14 20:43:20,92
2755,Borderlands,Positive,"SO EXCLUDED FOR THIS GAME I CAN SUCCESS AFTER THE STEAM BC, I LOVE BORDERLAND SO MUCH",2025-10-14 20:43:10,2025-10-14 20:43:20,85
2755,Borderlands,Positive,EXTENUATING CIRCUMSTANCES OF THIS GAME I CAN HAVE WITHOUT BORDERLANDS WITH MUST,2025-10-14 20:43:10,2025-10-14 20:43:20,79
2755,Borderlands,Positive,IM SO EXCITED FOR THIS GAME I CANT AFFORD YET TO DROP ON STEAM BC I LIKE EM REALLY MUCH,2025-10-14 20:43:10,2025-10-14 20:43:20,87
2755,Borderlands,Positive,IM SO ME EXCITED FOR IN THIS GAME I IT CANT AFFORD TO YET GO TO ONE DROP ON STEAM BC I LOVE TO BORDERLANDS AT SO MA MUCH,2025-10-14 20:43:10,2025-10-14 20:43:20,120
2755,Borderlands,Positive,IM SO EXCITED FOR THIS and I am AFFORD NOT TO DROP ON STEAM AND MUST LOVE BORDERLANDS FOR MUCH,2025-10-14 20:43:10,2025-10-14 20:43:20,94
2756,Borderlands,Positive,"I'm  . . Twitch.tv/thecolorabi . . I also have a new overlay, start and BRB screens that @gr_tesque made and I worked my photoshop magic on!",2025-10-14 20:43:10,2025-10-14 20:43:20,140
2756,Borderlands,Positive,"I am.. Twitch.tv / thecolorabi.. I also have a new overlay, Start and BRB screens that @ gr _ tesque has made and on which I have worked my Photoshop magic!",2025-10-14 20:43:10,2025-10-14 20:43:20,156
2756,Borderlands,Positive,"I also have a new overlay, a starter screen and a BRB screen that @ gr _ tesque did and on which I worked all my focus magic!",2025-10-14 20:43:10,2025-10-14 20:43:20,125
2756,Borderlands,Positive,"I'm .. Twitch.tv/thecolorabi.. I also have a new overlay, color and BRB screens of @gr_tesque made and I perfected my photoshop magic tonight!",2025-10-14 20:43:10,2025-10-14 20:43:20,142
2756,Borderlands,Positive,"Tomorrow I'm.. Twitch. to tv / thecolorabi.. I also have designed a brand new overlay, start and finish BRB screens that my @gr_tesque made daily and I worked my photoshop magic up on!",2025-10-14 20:43:10,2025-10-14 20:43:20,184
2756,Borderlands,Positive,"and'm.. finishing.tv/thecolorabi.. I also have a different overlay, start and break screens that @gr_tesque made and I need an photoshop up on!",2025-10-14 20:43:10,2025-10-14 20:43:20,143
2757,Borderlands,Negative,@Borderlands @GearboxOfficial @DuvalMagic @ProdigyXL . This doesn’t look right. At all. Why am I just noticing this now? Shouldn’t the payouts be better in M4? Or are these typos. pic.twitter.com/ZyFAPOihPy,2025-10-14 20:43:10,2025-10-14 20:43:20,206
2757,Borderlands,Negative,@ Borderlands @ GearboxOfficial @ DuvalMagic @ ProdigyXL. That doesn't look right. At all. Why am I noticing this right now? Shouldn't the payouts in M4 be better? Or is it typos. pic.twitter.com / ZyFAPOihPy,2025-10-14 20:43:10,2025-10-14 20:43:20,208
2757,Borderlands,Negative,@ Borderlands @ GearboxOfficial @ DuvalMagic @ ProdigyOfficial.,2025-10-14 20:43:10,2025-10-14 20:43:20,63
2757,Borderlands,Negative,RhandlerR RhandlerR RhandlerR RhandlerR . This doesn’t look right. At all. Why am I just noticing this now? Shouldn’t the payouts be better in M4? Or are these typos. pic.twitter.com/ZyFAPOihPy,2025-10-14 20:43:10,2025-10-14 20:43:20,193
2757,Borderlands,Negative,R RhandlerR RhandlerR RhandlerR RhandlerR . This doesn’t look right. At all. Why am I just noticing this now? Shouldn’t the payouts be better in M4? Or are these typos. pic.twitter.com/ZyFAPOihPy,2025-10-14 20:43:10,2025-10-14 20:43:20,195
2757,Borderlands,Negative,who,2025-10-14 20:43:10,2025-10-14 20:43:20,3
2758,Borderlands,Negative,"Borderlands 3 Sucks : Here's Why (UPDATED 2020) youtu.be/oNBoVcEWovQ. . It's sadly true, even though I really likes the gameplay there's some serious problems in to story and drops",2025-10-14 20:43:10,2025-10-14 20:43:20,180
2758,Borderlands,Negative,"Borderlands 3 Sucks: Here's Why (UPDATED 2020) youtu.be / oNBoVcEWovQ.. Unfortunately, it's true, even though I really like the gameplay, there are some serious problems in the story and the crashes",2025-10-14 20:43:10,2025-10-14 20:43:20,198
2758,Borderlands,Negative,Borderlands 3 Sucks: Here's Why (UPDATED 2020) youtu.be / oNBoVcEWovQ.,2025-10-14 20:43:10,2025-10-14 20:43:20,70
2758,Borderlands,Negative,"Borderlands 3 Sucks : Here's a (UPDATED 2020) screenshot.be/oNBoVcEWovQ.. It's sadly true, even though I really likes the gameplay ignoring some serious deficiencies in its story and drops",2025-10-14 20:43:10,2025-10-14 20:43:20,188
2758,Borderlands,Negative,"Borderlands at 3 Sucks : Here's Why ( UPDATED in 2020 ) youtu. be / oNBoVcEWovQ.. It'm s sadly not true, even though technically I really likes the gameplay there'z s some truly serious problems fitted in to both story and gameplay drops",2025-10-14 20:43:10,2025-10-14 20:43:20,237
2758,Borderlands,Negative,"Borderlands 3 Sucks : Here's it (UPDATED 2020) By.be/oNBoVcEWovQ.. Actually's sadly true, and though I really likes new gameplay there's 2 serious problems in many story book ending",2025-10-14 20:43:10,2025-10-14 20:43:20,181
2759,Borderlands,Negative,Live-action Borderlands film is just a really long commercial advertisement for the borderlands game.,2025-10-14 20:43:10,2025-10-14 20:43:20,101
2759,Borderlands,Negative,The live-action film Borderlands is just a really long commercial advertisement for the Borderlands game.,2025-10-14 20:43:10,2025-10-14 20:43:20,105
2759,Borderlands,Negative,Live-action Borderlands film is just a really long commercial advertisement for the borderlands game.,2025-10-14 20:43:10,2025-10-14 20:43:20,101
