ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
2781,Borderlands,Neutral,@Borderlands  handsome collection free on epic game store please get it for the switch.,2025-10-13 21:13:40,2025-10-13 21:13:50,87
2781,Borderlands,Neutral,Any @Borderlands for handsome collection free on epic game store please only do it for the switch.,2025-10-13 21:13:40,2025-10-13 21:13:50,98
2781,Borderlands,Neutral,@Borderlands handsome quality free on mobile game store please do it for the switch.,2025-10-13 21:13:40,2025-10-13 21:13:50,84
2782,Borderlands,Positive,"Wow, Borderlands the presequeal was 2014 and I still haven't played it",2025-10-13 21:13:40,2025-10-13 21:13:50,70
2782,Borderlands,Positive,"Wow, Borderlands was 2014 and I still haven't played it",2025-10-13 21:13:40,2025-10-13 21:13:50,55
2782,Borderlands,Positive,"Wow, Borderlands the preequeal was 2014 and I still haven't played it",2025-10-13 21:13:40,2025-10-13 21:13:50,69
2782,Borderlands,Positive,"Wow, Borderlands the Dead was 2014 and I still haven't played it",2025-10-13 21:13:40,2025-10-13 21:13:50,64
2782,Borderlands,Positive,"Wow, Borderlands in the band presequeal was 2014 and I still technically haven't played it",2025-10-13 21:13:40,2025-10-13 21:13:50,90
2782,Borderlands,Positive,"Wow, totally the presequeal was 2014 yet I still haven't played that",2025-10-13 21:13:40,2025-10-13 21:13:50,68
2783,Borderlands,Positive,"Super fun game, would highly HIGHLY recommend it. And it’s literally free right now, so what reason do you have to not try it? Of course, I’d recommend playing the others Borderlands games before this one for story purposes, but it won’t be free forever so go get it anyway.",2025-10-13 21:13:40,2025-10-13 21:13:50,274
2783,Borderlands,Positive,"And it's literally free at the moment, so what reason do you have not to try it? Of course I would recommend to play the other Borderlands games before this game for storytelling purposes, but it won't be free forever, so get it anyway.",2025-10-13 21:13:40,2025-10-13 21:13:50,236
2783,Borderlands,Positive,"Super fun game, would highly recommend it. And it's literally free right now, so what do you have to not try it? Of course, I'd recommend the others Borderlands games before this one for story purposes, but it won't be free forever, so go get it anyway.",2025-10-13 21:13:40,2025-10-13 21:13:50,253
2783,Borderlands,Positive,"Super fun games, would highly HIGHLY recommend it. But it’s literally free right now, so what reason do ya have to no try it? Of course, I’d recommend playing the others Borderlands games before either one for story purposes, but it won’t be free forever so go get it now.",2025-10-13 21:13:40,2025-10-13 21:13:50,272
2783,Borderlands,Positive,"Super fun game, would highly HIGHLY recommend putting it. And it ’ s literally free right now, so what reason do you all have to not really try it? Of course, and I ’ d recommend you playing the near others in Borderlands games long before this one for story purposes, but it won ’ t likely be free forever so go get it going anyway.",2025-10-13 21:13:40,2025-10-13 21:13:50,333
