ID,Topic,Sentiment
0,cho mình xin bài nhạc tên là gì với ạ,Neutral
1,cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,Negative
2,lo học đi . yêu đương lol gì hay lại thích học sinh học,Negative
3,uớc gì sau này về già vẫn có thể như cụ này :)),Positive
4,mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,Positive
5,thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,Negative
6,một lí do trog muôn vàn lí do,Neutral
7,thật hay đùa ác vậy . không thể tin được,Neutral
8,"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",Negative
9,per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,Negative
10,công nhận sáng tạo thật đấy,Positive
11,đòn tấn công cực gắt và cục sút của anh 😂😂😂,Negative
12,trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,Neutral
13,minh biết nữa ne,Positive
14,mấy thằng củ lol việt nam nhảm nhí :)),Negative
15,"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người",Negative
16,"bếp dầu , nhiều nhà vẫn dùng",Neutral
17,nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,Neutral
18,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",Negative
19,sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,Positive
20,"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",Negative
21,coi video chưa hiểu gì đã làm ầm lên,Negative
22,chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,Positive
23,yêu chết đi được .,Positive
24,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,Negative
25,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,Negative
26,cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,Negative
27,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,Negative
28,t gặp quả này thì bỏ xe mà chạy ??,Negative
29,thế con trai là của ai cho,Neutral
30,per đây mí chính là cụ tổ của những chiếc sừng này,Neutral
31,muốn share về mà sợ bị bạn nè phẫn nộ quá,Negative
32,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",Negative
33,nay buồn :(((,Negative
34,"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",Negative
35,ai có link nhạc mấy bài trên không ạ hay vãi ra,Positive
36,đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,Neutral
37,phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Neutral
38,làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,Negative
39,khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,Positive
40,đéo được tích sự gì 😂,Negative
41,haizzz ... thế là chưa có kq gì tốt đẹp cả ..,Negative
42,bản thân cố gắng cũng chẳng dễ dàng gì :((,Negative
43,"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",Negative
44,thế em ăn cơm chưa ?,Neutral
45,"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha",Neutral
46,chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,Negative
47,mày coi chừng có ngày tao dã dô mặt mày như dzầy,Negative
48,canh thời gian đăng đúng vãi !,Neutral
49,quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,Negative
50,học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,Negative
51,mình thi xong còn không khóc được 😢,Negative
52,"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",Positive
53,"per trừ điểm , trừ điểm",Negative
54,"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !",Negative
55,cả tuần không được nói chuyện,Negative
56,per mày cẩn thận tao giết,Negative
57,cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,Negative
58,bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),Neutral
59,đẹp trai quá,Positive
60,đóng cái lồn tao nè chứ đóng,Negative
61,"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",Negative
62,"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓",Negative
63,hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),Positive
64,ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,Negative
65,"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕",Negative
66,dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,Positive
67,ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,Negative
68,giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,Negative
69,per tao được làm fan cứng giống mày rồi 🤣,Positive
70,xem cái này mới biết vốn tiếng anh của mình cũng khá !,Neutral
71,thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,Negative
72,ôi bé xinh gái vãi :)),Positive
73,cười sái mẹ quai hàm,Positive
74,rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,Negative
75,tự dưng cay mẹ mắt,Negative
76,tao sợ thật sự :(((,Negative
77,per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,Positive
78,tốt quá,Positive
79,ông nào viết vui tính thế =)) cưng thật,Positive
80,không hiểu sao nhìu người lại thả haha nhỉ ??,Neutral
81,diễn viên già vãi -.-,Negative
82,ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,Positive
83,cưng quá đi,Positive
84,nhìn mẫu này lạ mắt mà đẹp quá,Neutral
85,tao cay mẹ khoé mắt,Negative
86,thấy mệt thêm chứ chẳng khỏe gì cả .,Negative
87,":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !",Positive
