ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
10413,RedDeadRedemption(RDR),Positive,I want dis so bad,2025-10-13 21:27:40,2025-10-13 21:27:50,17
10413,RedDeadRedemption(RDR),Positive,ohhhhh i want you so bad,2025-10-13 21:27:40,2025-10-13 21:27:50,24
10413,RedDeadRedemption(RDR),Positive,ohhhhh i want a dis so bad,2025-10-13 21:27:40,2025-10-13 21:27:50,26
10413,RedDeadRedemption(RDR),Positive,ohhhhh i want candy so bad,2025-10-13 21:27:40,2025-10-13 21:27:50,26
10414,RedDeadRedemption(RDR),Negative,I don’t remember red dead redemption being so slow,2025-10-13 21:27:40,2025-10-13 21:27:50,50
10414,RedDeadRedemption(RDR),Negative,I can't remember redemption being so slow,2025-10-13 21:27:40,2025-10-13 21:27:50,41
10414,RedDeadRedemption(RDR),Negative,I don't remember the Red Dead recovering so slowly,2025-10-13 21:27:40,2025-10-13 21:27:50,50
10414,RedDeadRedemption(RDR),Negative,I don’t remember red mag redemption being so slow,2025-10-13 21:27:40,2025-10-13 21:27:50,49
10414,RedDeadRedemption(RDR),Negative,... I just don ’ t remember red dead redemption being so slow,2025-10-13 21:27:40,2025-10-13 21:27:50,61
10414,RedDeadRedemption(RDR),Negative,I don’t remember red<unk> redemption being so slow,2025-10-13 21:27:40,2025-10-13 21:27:50,50
10415,RedDeadRedemption(RDR),Negative,I think the thing that pissed me off the most about playing red dead redemption 2 is they killed my damn horse. Rode that same mare the whole game. She done me well.,2025-10-13 21:27:40,2025-10-13 21:27:50,165
10415,RedDeadRedemption(RDR),Negative,I think the thing that bothered me the most about playing Red Dead Redemption 2 is that they killed my damn horse.,2025-10-13 21:27:40,2025-10-13 21:27:50,114
10415,RedDeadRedemption(RDR),Negative,I think the thing that most annoyed me in the game with the Red Dead Redemption 2 was that they killed my damned horse. Sort of the same mares the whole game. It made me good.,2025-10-13 21:27:40,2025-10-13 21:27:50,175
10415,RedDeadRedemption(RDR),Negative,I think the thing that pissed me off the most about this red dead redemption 2 is they killed my damn Harley. Rode that one mare the whole game. She done me well.,2025-10-13 21:27:40,2025-10-13 21:27:50,162
10415,RedDeadRedemption(RDR),Negative,I think the thing that pissed me off the most about playing red dead redemption against 2 men is they killed my damn horse. Rode that goddamn same damn mare throughout the entire whole game. She really done me well.,2025-10-13 21:27:40,2025-10-13 21:27:50,215
10415,RedDeadRedemption(RDR),Negative,<unk> thought the thing that pissed me off pretty most about playing red dead redemption 2 is they killed this original horse. Rode that same mare the whole game. She done me well.,2025-10-13 21:27:40,2025-10-13 21:27:50,180
10416,RedDeadRedemption(RDR),Neutral,She is streaming red dead redemption 2.Come watch! twitch.tv/brunettebruise…,2025-10-13 21:27:40,2025-10-13 21:27:50,76
10416,RedDeadRedemption(RDR),Neutral,She streams red dead redemption 2.Come watch! twitch.tv / brunettebruise...,2025-10-13 21:27:40,2025-10-13 21:27:50,75
10416,RedDeadRedemption(RDR),Neutral,She's a red dead.... Come watch! tch.tv / brunettebruise...,2025-10-13 21:27:40,2025-10-13 21:27:50,59
10416,RedDeadRedemption(RDR),Neutral,She is streaming red dead redemption 2.Come watch! twitch.tv/brunettebruise…,2025-10-13 21:27:40,2025-10-13 21:27:50,76
10416,RedDeadRedemption(RDR),Neutral,or She is streaming red dead redemption 2.Come watch! twitch.tv/brunettebruise…,2025-10-13 21:27:40,2025-10-13 21:27:50,79
10416,RedDeadRedemption(RDR),Neutral,on,2025-10-13 21:27:40,2025-10-13 21:27:50,2
10417,RedDeadRedemption(RDR),Neutral,"Coffee Time!. Red Dead Redemption 2, Episode 2. youtube.com/watch?v=lRDFvB… https://t.co/eZzQ1zgo9U",2025-10-13 21:27:40,2025-10-13 21:27:50,99
10417,RedDeadRedemption(RDR),Neutral,"Red Dead Redemption 2, episode 2. youtube.com / watch? v = lRDFvB... https: / / t.co / eZzQ1zgo9U",2025-10-13 21:27:40,2025-10-13 21:27:50,97
10417,RedDeadRedemption(RDR),Neutral,"Coffee Time!. Red Dead Redeeming 2, YouTube / watch? v = lRvB... https: / / co / eZzQ1zgo9U",2025-10-13 21:27:40,2025-10-13 21:27:50,91
10417,RedDeadRedemption(RDR),Neutral,"Coffee Time!. The Dead Season 2, Season 2. youtube.com/watch?v=lRDFvB… https://t.co/eZzQ1zgo9U]",2025-10-13 21:27:40,2025-10-13 21:27:50,95
10417,RedDeadRedemption(RDR),Neutral,"Coffee Stop Time!. This Red Dead Horror Redemption 2, 1991 Episode 3 2. youtube. com / watch? v = lRDFvB and … for https://t.co/eZzQ1zgo9U ]",2025-10-13 21:27:40,2025-10-13 21:27:50,140
10417,RedDeadRedemption(RDR),Neutral,"Coffee Time!. Black Eye Evil 2, beta<unk>. youtube.com/watch?v=lRDFvB... https://t.co/eZzQ1zgo9U]",2025-10-13 21:27:40,2025-10-13 21:27:50,97
10418,RedDeadRedemption(RDR),Neutral,One of the best games of 2019 is going to Xbox Game Pass. Wow.,2025-10-13 21:27:40,2025-10-13 21:27:50,64
10418,RedDeadRedemption(RDR),Neutral,One of the best games of 2019 will be Xbox Game Pass. Wow.,2025-10-13 21:27:40,2025-10-13 21:27:50,58
10418,RedDeadRedemption(RDR),Neutral,One of the best games of 2019 will be the Xbox Game.,2025-10-13 21:27:40,2025-10-13 21:27:50,52
10418,RedDeadRedemption(RDR),Neutral,One of five best games of 2019 is going to Xbox Game Pass. Wow.,2025-10-13 21:27:40,2025-10-13 21:27:50,63
10418,RedDeadRedemption(RDR),Neutral,But One of the best games of 2019 is going out to make Xbox Game Pass. Wow.,2025-10-13 21:27:40,2025-10-13 21:27:50,75
10418,RedDeadRedemption(RDR),Neutral,some of the best games of 2019 is going to Xbox Season Pass. Wow.,2025-10-13 21:27:40,2025-10-13 21:27:50,65
10419,RedDeadRedemption(RDR),Neutral,ดูการออกอากาศของฉันจาก PlayStation 4!,2025-10-13 21:27:40,2025-10-13 21:27:50,39
10419,RedDeadRedemption(RDR),Neutral,The PlayStation 4 is not the only Playstation 4 available for purchase.,2025-10-13 21:27:40,2025-10-13 21:27:50,71
10419,RedDeadRedemption(RDR),Neutral,"SEOUL, South Korea (Reuters) - South Korean President Park Geun-hye said on Saturday that he was \"deeply disappointed\" by the death of his daughter, who was killed in a car crash in South Korea on Sunday, the latest in a series of incidents involving the country's nuclear weapons program.",2025-10-13 21:27:40,2025-10-13 21:27:50,289
10419,RedDeadRedemption(RDR),Neutral,ดูการออกอากาศของฉันจาก �<unk>!,2025-10-13 21:27:40,2025-10-13 21:27:50,30
10419,RedDeadRedemption(RDR),Neutral,Online [UNK] PlayStation 4!,2025-10-13 21:27:40,2025-10-13 21:27:50,27
10419,RedDeadRedemption(RDR),Neutral,<unk> PlayStation X!,2025-10-13 21:27:40,2025-10-13 21:27:50,20
10420,RedDeadRedemption(RDR),Neutral,Red Dead Redemption 2 (for PC) pcmag.com/review/372122/…,2025-10-13 21:27:40,2025-10-13 21:27:50,56
10420,RedDeadRedemption(RDR),Neutral,Red Dead Redemption 2 (for PC) pcmag.com / review / 372122 /...,2025-10-13 21:27:40,2025-10-13 21:27:50,63
10420,RedDeadRedemption(RDR),Neutral,Red Dead Redementation 2 (for PC) pcmag.com / review / 372122 /...,2025-10-13 21:27:40,2025-10-13 21:27:50,66
10420,RedDeadRedemption(RDR),Neutral,Red Dead Walking 2 (for release) pcmag.com/review/372122/…,2025-10-13 21:27:40,2025-10-13 21:27:50,58
10420,RedDeadRedemption(RDR),Neutral,Red Dead Blood Redemption 2 ( Steam for PC ) pcmag. dot com / meta review / 372122 / …,2025-10-13 21:27:40,2025-10-13 21:27:50,86
10420,RedDeadRedemption(RDR),Neutral,the Dead Redemption film (for iPad) pcmag.com/review/372122/...,2025-10-13 21:27:40,2025-10-13 21:27:50,63
10421,RedDeadRedemption(RDR),Neutral,. amzn.to/2Atv2tc https://t.co/TvABQTkIZb,2025-10-13 21:27:40,2025-10-13 21:27:50,42
10421,RedDeadRedemption(RDR),Neutral,amzn.to / 2Atv2tc https: / / t.co / TvABQTkIZb,2025-10-13 21:27:40,2025-10-13 21:27:50,46
10421,RedDeadRedemption(RDR),Neutral,. amzto / 2Atv2tc https: / / Fenco / TvABQTkIZb,2025-10-13 21:27:40,2025-10-13 21:27:50,47
10421,RedDeadRedemption(RDR),Neutral,. amzn.to/2Atv2tc C],2025-10-13 21:27:40,2025-10-13 21:27:50,20
10421,RedDeadRedemption(RDR),Neutral,. control amzn. port to / via 2Atv2tc with https://t.co/TvABQTkIZb ],2025-10-13 21:27:40,2025-10-13 21:27:50,68
10421,RedDeadRedemption(RDR),Neutral,.<unk>.to/2Atv2tc<unk>],2025-10-13 21:27:40,2025-10-13 21:27:50,23
10422,RedDeadRedemption(RDR),Positive,This is fantastic!,2025-10-13 21:27:40,2025-10-13 21:27:50,18
10422,RedDeadRedemption(RDR),Positive,This is fantastic!,2025-10-13 21:27:40,2025-10-13 21:27:50,18
10422,RedDeadRedemption(RDR),Positive,This is fantastic!,2025-10-13 21:27:40,2025-10-13 21:27:50,18
10422,RedDeadRedemption(RDR),Positive,This is fun!,2025-10-13 21:27:40,2025-10-13 21:27:50,12
10422,RedDeadRedemption(RDR),Positive,This is indeed fantastic!,2025-10-13 21:27:40,2025-10-13 21:27:50,25
10422,RedDeadRedemption(RDR),Positive,product is fantastic!,2025-10-13 21:27:40,2025-10-13 21:27:50,21
10423,RedDeadRedemption(RDR),Negative,@RockstarGames   TRASH    GTAV   Red dead redemption 2 online TRASH,2025-10-13 21:27:40,2025-10-13 21:27:50,67
10423,RedDeadRedemption(RDR),Negative,@ RockstarGames TRASH GTAV Red dead redemption 2 online TRASH,2025-10-13 21:27:40,2025-10-13 21:27:50,61
10423,RedDeadRedemption(RDR),Negative,@ RockstarGames TRASH AV Red dead redeepening 2 online TRASH,2025-10-13 21:27:40,2025-10-13 21:27:50,60
10423,RedDeadRedemption(RDR),Negative,@RockstarGames   TRASH    GTAV   Red hot redemption games online TRASH,2025-10-13 21:27:40,2025-10-13 21:27:50,70
10423,RedDeadRedemption(RDR),Negative,@RockstarGames TRASH GTAV Red Ribbon dead end redemption 2 online app TRASH,2025-10-13 21:27:40,2025-10-13 21:27:50,75
10423,RedDeadRedemption(RDR),Negative,@RockstarGames TRASH GTAV Red dead 2 2 R TRASH,2025-10-13 21:27:40,2025-10-13 21:27:50,46
10424,RedDeadRedemption(RDR),Positive,"im a little late but happy 10th red dead redemption, i didnt expect for this franchise to change my life but it absolutely has and i adore it with my whole heart and soul",2025-10-13 21:27:40,2025-10-13 21:27:50,170
10424,RedDeadRedemption(RDR),Positive,"In the somewhat belated but happy 10th Red Dead Redemption, I didn't expect this franchise to change my life, but it absolutely has and I admire it with all my heart and soul.",2025-10-13 21:27:40,2025-10-13 21:27:50,175
10424,RedDeadRedemption(RDR),Positive,"I'm a bit late but happy that this franchise has changed my life, but I absolutely have it and I adore it with all my heart and soul",2025-10-13 21:27:40,2025-10-13 21:27:50,132
10424,RedDeadRedemption(RDR),Positive,"im a little late but happy 10th red dead redemption, also didnt expect for t franchise to change my life but it absolutely has and i adore you with my whole heart and soul",2025-10-13 21:27:40,2025-10-13 21:27:50,171
10424,RedDeadRedemption(RDR),Positive,"im a little late but happy the 10th red dead redemption, yeah i didnt even expect for doing this film franchise to change my life but tonight it absolutely has and i adore performing it with my whole heart and soul",2025-10-13 21:27:40,2025-10-13 21:27:50,214
10424,RedDeadRedemption(RDR),Positive,"love a little late but happy 10th red dead redemption, i didnt expect how this franchise totally change my life but it completely has and i adore it with my absolute heart and soul",2025-10-13 21:27:40,2025-10-13 21:27:50,180
10425,RedDeadRedemption(RDR),Neutral,Red Dead Redemption said  . . - transmasc queer cowboy pic.twitter.com/D1xDRwQiLw,2025-10-13 21:27:40,2025-10-13 21:27:50,81
