ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
12865,Xbox(Xseries),Positive,With all the new informations about the  . For me as a tech enthusiast it's the potential of DXR and VRS with a RDNA2 12TF GPU.. And the smart delivery feature is the consumer friendliest move they could have done!. How about you? pic.twitter.com/vzqmYHYOoh,2025-10-13 21:25:50,2025-10-13 21:26:00,257
12865,Xbox(Xseries),Positive,With all the new information about that. For me as a tech enthusiast it's the potential of DXR and VRS with an RDNA2 12TF GPU.. And that smart delivery feature is the most consumer friendly step they could have done!. How about you? pic.twitter.com / vzqmYHYOoh,2025-10-13 21:25:50,2025-10-13 21:26:00,261
12865,Xbox(Xseries),Positive,"For me, as a technology enthusiast, it's the potential of DXR and VRS with an RDNA2 12TF graphics processor.",2025-10-13 21:25:50,2025-10-13 21:26:00,108
12865,Xbox(Xseries),Positive,With all the new informations about the  . For me as a tech enthusiast it's the potential of DXR and VRS with a RDNA2 12TF GPU.. And the smart delivery feature is the consumer friendliest move they could have done!. How about you? pic.twitter.com/vzqmYHYOoh,2025-10-13 21:25:50,2025-10-13 21:26:00,257
12865,Xbox(Xseries),Positive,0 With all the new informations about the  . For me as a tech enthusiast it's the potential of DXR and VRS with a RDNA2 12TF GPU.. And the smart delivery feature is the consumer friendliest move they could have done!. How about you? pic.twitter.com/vzqmYHYOoh,2025-10-13 21:25:50,2025-10-13 21:26:00,259
12865,Xbox(Xseries),Positive,no,2025-10-13 21:25:50,2025-10-13 21:26:00,2
12866,Xbox(Xseries),Neutral,The Xbox Series X lacks launch exclusives because gaming isn’t all about hardware - viewtuber.com/?p=19916,2025-10-13 21:25:50,2025-10-13 21:26:00,106
12866,Xbox(Xseries),Neutral,The Xbox Series X lacks launch exclusives because gaming isn't just about hardware - viewtuber.com /? p = 19916,2025-10-13 21:25:50,2025-10-13 21:26:00,111
12866,Xbox(Xseries),Neutral,Xbox Series X lags behind in exclusive games because the game is not just about hardware - viewtuber.com /? p = 19916,2025-10-13 21:25:50,2025-10-13 21:26:00,117
12866,Xbox(Xseries),Neutral,The Xbox Series X lacks launch support showing gaming isn’t all about hardware - viewtuber.com/?p=19916,2025-10-13 21:25:50,2025-10-13 21:26:00,103
12866,Xbox(Xseries),Neutral,The Xbox Series X actually lacks launch exclusives merely because gaming isn ’ i t at all about this hardware - viewtuber. com /? p = 19916,2025-10-13 21:25:50,2025-10-13 21:26:00,139
12866,Xbox(Xseries),Neutral,The Complete Series X console launch today because gaming isn’t all about hardware - click.com/?p=19916,2025-10-13 21:25:50,2025-10-13 21:26:00,103
12867,Xbox(Xseries),Neutral,Jesus christ you'd be pissed as a kid on Christmas Day expecting a Series X. .,2025-10-13 21:25:50,2025-10-13 21:26:00,79
12867,Xbox(Xseries),Neutral,"Jesus Christ, you were pissed off like a child on Christmas Day when you were expecting a series X.",2025-10-13 21:25:50,2025-10-13 21:26:00,99
12867,Xbox(Xseries),Neutral,"Jesus, if you were a child at Christmas waiting for Series X.",2025-10-13 21:25:50,2025-10-13 21:26:00,61
12867,Xbox(Xseries),Neutral,Jesus christ you'd be pissed as a kid on Judgment Day expecting a Series X..,2025-10-13 21:25:50,2025-10-13 21:26:00,76
12867,Xbox(Xseries),Neutral,Jesus to christ you'd be pissed off as a kid on Christmas Memorial Day expecting a Series 3 X..,2025-10-13 21:25:50,2025-10-13 21:26:00,95
12867,Xbox(Xseries),Neutral,Jesus christ you'd be pissed as a stone about Christmas Day expecting a Series or..,2025-10-13 21:25:50,2025-10-13 21:26:00,83
12868,Xbox(Xseries),Positive,"£28.99 a month for an Xbox series x which is more powerful than a PS5, plus game pass ultimate and ea play. 3rd party games will definitely play and look better on the X also. Spiderman & Ratchet can wait...",2025-10-13 21:25:50,2025-10-13 21:26:00,207
12868,Xbox(Xseries),Positive,"£28.99 a month for an Xbox series x, which is more powerful than a PS5, plus game pass ultimate and ea play. Third-party games will definitely play and also look better on the X. Spiderman & Ratchet can wait...",2025-10-13 21:25:50,2025-10-13 21:26:00,210
