ID,Topic,Sentiment,Text,Timestamp,IngestedAt,TextLength
11898,Verizon,Negative,The @ Verizon store policy is killing their stores.,2025-10-14 08:52:30,2025-10-14 08:52:40,51
11898,Verizon,Negative,@Verizon's store policies are killing popular brick and mortar stores.,2025-10-14 08:52:30,2025-10-14 08:52:40,70
11898,Verizon,Negative,@Verizon's store building policies alone are killing their local brick and mortar stores.,2025-10-14 08:52:30,2025-10-14 08:52:40,89
11898,Verizon,Negative,@Verizon's retail policies are killing their brick by mortar stores.,2025-10-14 08:52:30,2025-10-14 08:52:40,68
11899,Verizon,Negative,This scam number saying they’re @verizon and I have a block on my account has called me 3 times in a row. Annoying but they’re blocked now.,2025-10-14 08:52:30,2025-10-14 08:52:40,139
11899,Verizon,Negative,"This scam number, which says they are @ Verizon and I have a block on my account, has called me three times in a row. Annoying, but they are now blocked.",2025-10-14 08:52:30,2025-10-14 08:52:40,153
11899,Verizon,Negative,"This number of the fraudster saying they are @ verizon and I have a block on my account has called me 3 times in a row. Annoyingly, they are blocked now.",2025-10-14 08:52:30,2025-10-14 08:52:40,153
11899,Verizon,Negative,This scam number saying they’re @verizon and I have a block on my account has blocked me 3 times in da row. Annoying that they’re blocked now.,2025-10-14 08:52:30,2025-10-14 08:52:40,142
11899,Verizon,Negative,This scam number saying they ’ re @verizon and and now I have a blocked block on my credit account has called me 3 times in a row. Annoying but not they who ’ re blocked in now.,2025-10-14 08:52:30,2025-10-14 08:52:40,177
11899,Verizon,Negative,This scam number and they’re @verizon and I have a block on that account its called me 4 times in another row. Annoying but they’re blocked now.,2025-10-14 08:52:30,2025-10-14 08:52:40,144
11900,Verizon,Irrelevant,"John Legere is up to his old tricks again, mocking Verizon on social media tech.dsmenders.com/john-legere-is… https://t.co/PjK8DB02kz",2025-10-14 08:52:30,2025-10-14 08:52:40,133
11900,Verizon,Irrelevant,John Legere is back to his old tricks and mocks Verizon on social media tech.dsmenders.com / john-legere-is... https: / / t.co / PjK8DB02kz,2025-10-14 08:52:30,2025-10-14 08:52:40,139
11900,Verizon,Irrelevant,"John Ledger is back to his old tricks, mocking Verizon on social media tech.menders.com / jlegere-is...",2025-10-14 08:52:30,2025-10-14 08:52:40,103
11900,Verizon,Irrelevant,"John Legere is up to its Twitter tricks now, mocking Verizon on social media tech.dsmenders.com/john-legere-is… https://t.co/PjK8DB02kz]",2025-10-14 08:52:30,2025-10-14 08:52:40,136
11900,Verizon,Irrelevant,"John Legere Lynch is also up to all his old tricks again, mocking his Verizon company on her social media tech. dsmenders. com / john - legere - me is a … https://t.co/PjK8DB02kz ]",2025-10-14 08:52:30,2025-10-14 08:52:40,180
11900,Verizon,Irrelevant,"John Legere is talking to a talk show again, with Verizon “ social media tech.dsmenders.com/john-legere-is... https://t.co/PjK8DB02kz]",2025-10-14 08:52:30,2025-10-14 08:52:40,134
11901,Verizon,Negative,"Apparentally if you have verizon as your ISP, Valorant says fuck you",2025-10-14 08:52:30,2025-10-14 08:52:40,68
11901,Verizon,Negative,"If you have Verizon as your ISP, Valorant apparently says Fuck You",2025-10-14 08:52:30,2025-10-14 08:52:40,66
11901,Verizon,Negative,"If you have verification as your provider, Valorant says fuck you",2025-10-14 08:52:30,2025-10-14 08:52:40,65
11901,Verizon,Negative,"Apparentally if you have verizon as major ISP, Valorant says fuck you",2025-10-14 08:52:30,2025-10-14 08:52:40,69
11901,Verizon,Negative,"Apparentally if either you have verizon or as at your ISP, Valorant says the fuck you",2025-10-14 08:52:30,2025-10-14 08:52:40,85
11901,Verizon,Negative,"Apparentally if you have verizon as that wallet, Valorant says while you",2025-10-14 08:52:30,2025-10-14 08:52:40,72
11902,Verizon,Neutral,imagine if the devil chose me to go inside (of all people) and made me all angry and cool (like the mask but more powerful) and then my mom called a priest and he spooked the devil out of me and then I had to go back to working at the Verizon wireless store.,2025-10-14 08:52:30,2025-10-14 08:52:40,258
11902,Verizon,Neutral,"Imagine if the devil would pick me (of all people) and make me angry and cool (like the mask, but more powerful), and then my mother would call a priest and he would drive the devil out of me and then I would have to work in the Verizon Wireless Store again.",2025-10-14 08:52:30,2025-10-14 08:52:40,258
11902,Verizon,Neutral,"Imagine if the devil chose me to get inside (of all people) and made me all angry and cold (like a mask, but more powerful), and then my mom summoned the priest and he pushed the devil out of me, and then I had to go back to work at the Verizon Wireless store.",2025-10-14 08:52:30,2025-10-14 08:52:40,260
11902,Verizon,Neutral,imagine if the devil chose me to go forward (of all people) and send me all angry and cool (like the mask but more powerful) and then my mother called this priest and he spooked the monster inside of me and then I had to go back to working at the Verizon wireless store.,2025-10-14 08:52:30,2025-10-14 08:52:40,270
11902,Verizon,Neutral,But imagine if the devil chose me as to go right inside ( of sure all the people ) and made me all angry and cool ( like the steel mask but more powerful ) and even then my mom called a priest and he spooked the devil out of kissing me and then I had to go my back to California working at the Verizon wireless store.,2025-10-14 08:52:30,2025-10-14 08:52:40,317
11902,Verizon,Neutral,imagine if the devil chose me to go inside (of sleeping people) and made me up angry and cool (like the mask but more powerful) and then my mom called a priest and he spooked two dogs outside of me or then I had to go in onto working like the Verizon wireless store.,2025-10-14 08:52:30,2025-10-14 08:52:40,266
11903,Verizon,Negative,VERIZON doesn't think out of the box. Ordered new Cell. Phone because mine was messed up. They continued to. send Messages to my original Cell number that was out of order.,2025-10-14 08:52:30,2025-10-14 08:52:40,172
11903,Verizon,Negative,"VERIZON does not think outside the box. Order a new cell phone. Call me because mine was broken. They kept sending messages to my original cell phone number, which did not work.",2025-10-14 08:52:30,2025-10-14 08:52:40,177
11903,Verizon,Negative,"VERIZON doesn't think outside the box. I ordered a new cell. I called because mine was confused. They kept sending Messes to my original cell number, which was wrong.",2025-10-14 08:52:30,2025-10-14 08:52:40,166
